entry_time,exit_time,side,entry,exit,qty,pnl,reason,week_id
2024-02-14 04:00:00,2024-02-14 04:00:00,SHORT,49809.1796875,49809.1796875,0.01663333502265642,0.0,STOP,"(2024, 7)"
2024-02-20 12:00:00,2024-02-20 12:00:00,LONG,51834.4140625,51834.4140625,0.05592230295033837,0.0,STOP,"(2024, 8)"
2024-03-05 16:00:00,2024-03-05 16:00:00,SHORT,68215.40625,62386.51953125,0.0077254239477278506,45.03062104562406,TP2,"(2024, 10)"
2024-03-15 00:00:00,2024-03-15 00:00:00,SHORT,72722.0390625,67449.9140625,0.009073097980952165,47.83450669282743,TP2,"(2024, 11)"
2024-03-21 04:00:00,2024-03-21 04:00:00,LONG,67882.1640625,67882.1640625,0.01411273873130889,0.0,STOP,"(2024, 12)"
2024-03-28 08:00:00,2024-03-28 08:00:00,SHORT,70505.265625,70505.265625,0.009263936796791205,0.0,STOP,"(2024, 13)"
2024-04-05 20:00:00,2024-04-05 20:00:00,LONG,68461.046875,67832.28125,0.030463859866244614,-19.154627888711712,FRIDAY,"(2024, 14)"
2024-04-12 16:00:00,2024-04-12 16:00:00,LONG,69214.6796875,69214.6796875,0.013729073888159532,0.0,STOP,"(2024, 15)"
2024-04-19 20:00:00,2024-04-19 20:00:00,LONG,63541.5078125,63541.5078125,0.009080461400944935,0.0,STOP,"(2024, 16)"
2024-04-26 20:00:00,2024-04-26 20:00:00,LONG,64709.23046875,63758.59765625,0.03576932696378495,-34.003495892814975,FRIDAY,"(2024, 17)"
2024-04-30 08:00:00,2024-04-30 08:00:00,SHORT,63630.40234375,61826.671875,0.01754470129460706,31.645912290200325,TP2,"(2024, 18)"
2024-05-10 20:00:00,2024-05-10 20:00:00,LONG,62880.421875,60806.5625,0.03628529311713346,-75.2505953055902,FRIDAY,"(2024, 19)"
2024-05-24 20:00:00,2024-05-24 20:00:00,SHORT,71286.296875,68529.71875,0.008937573839721371,24.63712053714819,FRIDAY,"(2024, 21)"
2024-05-30 20:00:00,2024-05-30 20:00:00,LONG,68326.6640625,68326.6640625,0.020670632844343676,0.0,STOP,"(2024, 22)"
2024-06-12 16:00:00,2024-06-12 16:00:00,LONG,69742.1953125,68340.40625,0.07133740922593337,-100.0,STOP,"(2024, 24)"
2024-06-20 12:00:00,2024-06-20 12:00:00,LONG,65501.57421875,65501.57421875,0.020000281253955133,0.0,STOP,"(2024, 25)"
2024-07-03 00:00:00,2024-07-03 00:00:00,LONG,62729.69921875,61213.796875,0.065967310105625,-99.99999999999999,STOP,"(2024, 27)"
2024-07-12 20:00:00,2024-07-12 20:00:00,SHORT,57483.6796875,57908.38671875,0.025958907860073373,-11.024930691744053,FRIDAY,"(2024, 28)"
2024-07-16 12:00:00,2024-07-16 12:00:00,SHORT,64787.59375,64787.59375,0.011805199452533876,0.0,STOP,"(2024, 29)"
2024-07-25 00:00:00,2024-07-25 00:00:00,LONG,66694.828125,64771.7109375,0.051998911272795226,-100.0,STOP,"(2024, 30)"
2024-08-01 12:00:00,2024-08-01 12:00:00,LONG,66600.9609375,63209.3984375,0.029484935041002486,-100.0,STOP,"(2024, 31)"
2024-08-15 16:00:00,2024-08-15 16:00:00,SHORT,60603.265625,57712.96875,0.01733801821033725,50.11201985203085,TP2,"(2024, 33)"
2024-08-20 20:00:00,2024-08-20 20:00:00,SHORT,58825.54296875,58825.54296875,0.02056707275923349,0.0,STOP,"(2024, 34)"
2024-08-27 20:00:00,2024-08-27 20:00:00,LONG,62985.6953125,61219.64453125,0.0566235133562924,-100.0,STOP,"(2024, 35)"
2024-09-04 00:00:00,2024-09-04 00:00:00,SHORT,59101.57421875,57266.89453125,0.021461530207103768,39.37503353364095,TP2,"(2024, 36)"
2024-09-11 16:00:00,2024-09-11 16:00:00,SHORT,57634.66796875,57634.66796875,0.013742767600136999,0.0,STOP,"(2024, 37)"
2024-09-17 12:00:00,2024-09-17 12:00:00,SHORT,59092.84765625,60864.64453125,0.05643987830151241,-100.0,STOP,"(2024, 38)"
2024-09-26 08:00:00,2024-09-26 08:00:00,SHORT,64456.3203125,64456.3203125,0.021001509483494125,0.0,STOP,"(2024, 39)"
2024-10-10 16:00:00,2024-10-10 16:00:00,LONG,62286.90234375,60061.1640625,0.04492891228156388,-100.0,STOP,"(2024, 41)"
2024-10-18 20:00:00,2024-10-18 20:00:00,SHORT,66047.890625,68429.5546875,0.022680638885246598,-54.017662547531884,FRIDAY,"(2024, 42)"
2024-10-25 04:00:00,2024-10-25 04:00:00,LONG,67353.515625,67353.515625,0.01604613263131503,0.0,STOP,"(2024, 43)"
2024-11-01 08:00:00,2024-11-01 08:00:00,SHORT,69967.2734375,69967.2734375,0.0171615356356606,0.0,STOP,"(2024, 44)"
2024-11-06 00:00:00,2024-11-06 00:00:00,SHORT,69018.0,72014.71875,0.03336983158663121,-100.0,STOP,"(2024, 45)"
2024-11-15 20:00:00,2024-11-15 20:00:00,SHORT,89086.09375,91046.796875,0.010262182734198244,-20.12109375626354,FRIDAY,"(2024, 46)"
2024-11-21 00:00:00,2024-11-21 00:00:00,SHORT,92488.53125,95691.640625,0.031219664486168225,-100.0,STOP,"(2024, 47)"
2024-11-29 20:00:00,2024-11-29 20:00:00,LONG,92865.5234375,97443.3515625,0.008259034286606556,37.80843944256681,FRIDAY,"(2024, 48)"
2024-12-04 12:00:00,2024-12-04 12:00:00,LONG,95707.1953125,95707.1953125,0.010854853646043576,0.0,STOP,"(2024, 49)"
2024-12-11 20:00:00,2024-12-11 20:00:00,LONG,95904.2265625,101222.703125,0.007101177353013951,37.76744531816048,TP2,"(2024, 50)"
2024-12-18 04:00:00,2024-12-18 04:00:00,SHORT,106465.0625,103377.9453125,0.00881730948067425,27.220067645296172,TP2,"(2024, 51)"
2024-12-27 20:00:00,2024-12-27 20:00:00,SHORT,95572.890625,94161.546875,0.010397965897921219,14.67510418274425,FRIDAY,"(2024, 52)"
2025-01-01 12:00:00,2025-01-01 12:00:00,SHORT,93996.1796875,93996.1796875,0.011550907919410758,0.0,STOP,"(2025, 1)"
2025-01-07 12:00:00,2025-01-07 12:00:00,SHORT,101769.0546875,97959.1953125,0.00961422905900733,36.628860713856504,TP2,"(2025, 2)"
2025-01-29 08:00:00,2025-01-29 08:00:00,SHORT,102779.3125,102779.3125,0.008793878361425653,0.0,STOP,"(2025, 5)"
2025-02-11 16:00:00,2025-02-11 16:00:00,SHORT,98298.1796875,95400.0,0.01709607191035247,49.547488346622856,TP2,"(2025, 7)"
2025-02-18 16:00:00,2025-02-18 16:00:00,LONG,95620.4140625,95620.4140625,0.023538584889699662,0.0,STOP,"(2025, 8)"
2025-02-25 12:00:00,2025-02-25 12:00:00,LONG,92152.765625,86310.265625,0.017115960633290545,-100.0,STOP,"(2025, 9)"
2025-03-05 12:00:00,2025-03-05 12:00:00,LONG,88222.8671875,88222.8671875,0.004048078522603142,0.0,STOP,"(2025, 10)"
2025-03-11 12:00:00,2025-03-11 12:00:00,LONG,79485.09375,79485.09375,0.006114951534231785,0.0,STOP,"(2025, 11)"
